2018 Work Days,,Name,Holidays
1/2/2018,,MLK,01/15/18
1/3/2018,,President,02/19/18
1/4/2018,,Memorial,05/28/18
1/5/2018,,,
1/8/2018,,,
1/9/2018,,,
1/10/2018,,,
1/11/2018,,,
1/12/2018,,,
1/16/2018,,,
1/17/2018,,,
1/18/2018,,,
1/19/2018,,,
1/22/2018,,,
1/23/2018,,,
1/24/2018,,,
1/25/2018,,,
1/26/2018,,,
1/29/2018,,,
1/30/2018,,,
1/31/2018,,,
2/1/2018,,,
2/2/2018,,,
2/5/2018,,,
2/6/2018,,,
2/7/2018,,,
2/8/2018,,,
2/9/2018,,,
2/12/2018,,,
2/13/2018,,,
2/14/2018,,,
2/15/2018,,,
2/16/2018,,,
2/20/2018,,,
2/21/2018,,,
2/22/2018,,,
2/23/2018,,,
2/26/2018,,,
2/27/2018,,,
2/28/2018,,,
3/1/2018,,,
3/2/2018,,,
3/5/2018,,,
3/6/2018,,,
3/7/2018,,,
3/8/2018,,,
3/9/2018,,,
3/12/2018,,,
3/13/2018,,,
3/14/2018,,,
3/15/2018,,,
3/16/2018,,,
3/19/2018,,,
3/20/2018,,,
3/21/2018,,,
3/22/2018,,,
3/23/2018,,,
3/26/2018,,,
3/27/2018,,,
3/28/2018,,,
3/29/2018,,,
3/30/2018,,,
4/2/2018,,,
4/3/2018,,,
4/4/2018,,,
4/5/2018,,,
4/6/2018,,,
4/9/2018,,,
4/10/2018,,,
4/11/2018,,,
4/12/2018,,,
4/13/2018,,,
4/16/2018,,,
4/17/2018,,,
4/18/2018,,,
4/19/2018,,,
4/20/2018,,,
4/23/2018,,,
4/24/2018,,,
4/25/2018,,,
4/26/2018,,,
4/27/2018,,,
4/30/2018,,,
5/1/2018,,,
5/2/2018,,,
5/3/2018,,,
5/4/2018,,,
5/7/2018,,,
5/8/2018,,,
5/9/2018,,,
5/10/2018,,,
5/11/2018,,,
5/14/2018,,,
5/15/2018,,,
5/16/2018,,,
5/17/2018,,,
5/18/2018,,,
5/21/2018,,,
5/22/2018,,,
5/23/2018,,,
5/24/2018,,,
5/25/2018,,,
5/29/2018,,,
5/30/2018,,,
5/31/2018,,,
6/1/2018,,,
6/4/2018,,,
6/5/2018,,,
6/6/2018,,,
6/7/2018,,,
6/8/2018,,,
6/11/2018,,,
6/12/2018,,,
6/13/2018,,,
6/14/2018,,,
6/15/2018,,,
6/18/2018,,,
6/19/2018,,,
6/20/2018,,,
6/21/2018,,,
6/22/2018,,,
6/25/2018,,,
6/26/2018,,,
6/27/2018,,,
6/28/2018,,,
6/29/2018,,,
